year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,B,Mining,b_1-5,Salessalesgovernmentfundingsalesgrantsandsubsidies,443,DOLLARS(millions)
2011,B,Mining,b_1-5,Totalincome,462,DOLLARS(millions)
2011,B,Mining,b_1-5,Totalexpenditure,411,DOLLARS(millions)
2011,B,Mining,b_1-5,Operatingprofitbeforetax,89,DOLLARS(millions)
2011,B,Mining,b_1-5,Totalassets,1213,DOLLARS(millions)
2011,B,Mining,b_1-5,Fixedtangibleassets,771,DOLLARS(millions)
2011,B,Mining,c_6-9,Activityunit,21,COUNT
2011,B,Mining,c_6-9,Rollingmeanemployees,174,COUNT
2011,B,Mining,c_6-9,Salariesandwagespaid,12,DOLLARS(millions)
2011,B,Mining,c_6-9,Salessalesgovernmentfundingsalesgrantsandsubsidies,C,DOLLARS(millions)
2011,B,Mining,c_6-9,Totalincome,65,DOLLARS(millions)
2011,B,Mining,c_6-9,Totalexpenditure,68,DOLLARS(millions)
2011,B,Mining,c_6-9,Operatingprofitbeforetax,0,DOLLARS(millions)
2011,B,Mining,c_6-9,Totalassets,169,DOLLARS(millions)
2011,B,Mining,c_6-9,Fixedtangibleassets,36,DOLLARS(millions)
2011,B,Mining,d_10-19,Activityunit,36,COUNT
2011,B,Mining,d_10-19,Rollingmeanemployees,489,COUNT
2011,B,Mining,d_10-19,Salariesandwagespaid,31,DOLLARS(millions)
2011,B,Mining,d_10-19,Salessalesgovernmentfundingsalesgrantsandsubsidies,261,DOLLARS(millions)
2011,B,Mining,d_10-19,Totalincome,265,DOLLARS(millions)
2011,B,Mining,d_10-19,Totalexpenditure,239,DOLLARS(millions)
2011,B,Mining,d_10-19,Operatingprofitbeforetax,45,DOLLARS(millions)
2011,B,Mining,d_10-19,Totalassets,375,DOLLARS(millions)
2011,B,Mining,d_10-19,Fixedtangibleassets,162,DOLLARS(millions)
2011,B,Mining,e_20-49,Activityunit,21,COUNT
2011,B,Mining,e_20-49,Rollingmeanemployees,714,COUNT
2011,B,Mining,e_20-49,Salariesandwagespaid,59,DOLLARS(millions)
2011,B,Mining,e_20-49,Salessalesgovernmentfundingsalesgrantsandsubsidies,759,DOLLARS(millions)
2011,B,Mining,e_20-49,Totalincome,872,DOLLARS(millions)
2011,B,Mining,e_20-49,Totalexpenditure,490,DOLLARS(millions)
2011,B,Mining,e_20-49,Operatingprofitbeforetax,C,DOLLARS(millions)
2011,B,Mining,e_20-49,Totalassets,C,DOLLARS(millions)
2011,B,Mining,e_20-49,Fixedtangibleassets,C,DOLLARS(millions)
2011,B,Mining,f_50-99,Activityunit,12,COUNT
2011,B,Mining,f_50-99,Rollingmeanemployees,663,COUNT
2011,B,Mining,f_50-99,Salariesandwagespaid,60,DOLLARS(millions)
2011,B,Mining,f_50-99,Salessalesgovernmentfundingsalesgrantsandsubsidies,1188,DOLLARS(millions)
2011,B,Mining,f_50-99,Totalincome,1346,DOLLARS(millions)
2011,B,Mining,f_50-99,Totalexpenditure,811,DOLLARS(millions)
2011,B,Mining,f_50-99,Operatingprofitbeforetax,C,DOLLARS(millions)
2011,B,Mining,f_50-99,Totalassets,2644,DOLLARS(millions)
2011,B,Mining,f_50-99,Fixedtangibleassets,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Activityunit,6,COUNT
2011,B,Mining,g_100-199,Rollingmeanemployees,651,COUNT
2011,B,Mining,g_100-199,Salariesandwagespaid,48,DOLLARS(millions)
2011,B,Mining,g_100-199,Salessalesgovernmentfundingsalesgrantsandsubsidies,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Totalincome,272,DOLLARS(millions)
2011,B,Mining,g_100-199,Totalexpenditure,376,DOLLARS(millions)
2011,B,Mining,g_100-199,Operatingprofitbeforetax,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Totalassets,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Fixedtangibleassets,C,DOLLARS(millions)
2011,B,Mining,h_200+,Activityunit,9,COUNT
2011,B,Mining,h_200+,Rollingmeanemployees,2850,COUNT
2011,B,Mining,h_200+,Salariesandwagespaid,261,DOLLARS(millions)
2011,B,Mining,h_200+,Salessalesgovernmentfundingsalesgrantsandsubsidies,1858,DOLLARS(millions)
2011,B,Mining,h_200+,Totalincome,1933,DOLLARS(millions)
2011,B,Mining,h_200+,Totalexpenditure,1673,DOLLARS(millions)
2011,B,Mining,h_200+,Operatingprofitbeforetax,286,DOLLARS(millions)
2011,B,Mining,h_200+,Totalassets,2099,DOLLARS(millions)
2011,B,Mining,h_200+,Fixedtangibleassets,1050,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Activityunit,606,COUNT
2011,B,Mining,i_Industry_Total,Rollingmeanemployees,5907,COUNT
2011,B,Mining,i_Industry_Total,Salariesandwagespaid,621,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Salessalesgovernmentfundingsalesgrantsandsubsidies,6944,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Totalincome,7486,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Totalexpenditure,5742,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Operatingprofitbeforetax,1895,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Totalassets,26953,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Fixedtangibleassets,8859,DOLLARS(millions)
2011,C,Manufacturing,a_0,Activityunit,8382,COUNT
2011,C,Manufacturing,a_0,Rollingmeanemployees,0,COUNT
2011,C,Manufacturing,a_0,Salariesandwagespaid,154,DOLLARS(millions)
2011,C,Manufacturing,a_0,Salessalesgovernmentfundingsalesgrantsandsubsidies,1993,DOLLARS(millions)
2011,C,Manufacturing,a_0,Totalincome,2004,DOLLARS(millions)
2011,C,Manufacturing,a_0,Totalexpenditure,1796,DOLLARS(millions)
2011,C,Manufacturing,a_0,Operatingprofitbeforetax,204,DOLLARS(millions)
2011,C,Manufacturing,a_0,Totalassets,2173,DOLLARS(millions)
2011,C,Manufacturing,a_0,Fixedtangibleassets,645,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Activityunit,6942,COUNT
2011,C,Manufacturing,b_1-5,Rollingmeanemployees,15327,COUNT
2011,C,Manufacturing,b_1-5,Salariesandwagespaid,627,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Salessalesgovernmentfundingsalesgrantsandsubsidies,3669,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Totalincome,3683,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Totalexpenditure,3458,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Operatingprofitbeforetax,241,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Totalassets,2675,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Fixedtangibleassets,612,DOLLARS(millions)
2011,C,Manufacturing,c_6-9,Activityunit,1872,COUNT
2011,C,Manufacturing,c_6-9,Rollingmeanemployees,13680,COUNT
2011,C,Manufacturing,c_6-9,Salariesandwagespaid,561,DOLLARS(millions)
2011,C,Manufacturing,c_6-9,Salessalesgovernmentfundingsalesgrantsandsubsidies,2168,DOLLARS(millions)
2011,C,Manufacturing,c_6-9,Totalincome,2184,DOLLARS(millions)
2011,C,Manufacturing,c_6-9,Totalexpenditure,2073,DOLLARS(millions)
2011,C,Manufacturing,c_6-9,Operatingprofitbeforetax,128,DOLLARS(millions)
2011,C,Manufacturing,c_6-9,Totalassets,1392,DOLLARS(millions)
2011,C,Manufacturing,c_6-9,Fixedtangibleassets,375,DOLLARS(millions)
2011,C,Manufacturing,d_10-19,Activityunit,1884,COUNT
2011,C,Manufacturing,d_10-19,Rollingmeanemployees,25053,COUNT
2011,C,Manufacturing,d_10-19,Salariesandwagespaid,1118,DOLLARS(millions)
2011,C,Manufacturing,d_10-19,Salessalesgovernmentfundingsalesgrantsandsubsidies,4407,DOLLARS(millions)
2011,C,Manufacturing,d_10-19,Totalincome,4435,DOLLARS(millions)
2011,C,Manufacturing,d_10-19,Totalexpenditure,4356,DOLLARS(millions)
2011,C,Manufacturing,d_10-19,Operatingprofitbeforetax,98,DOLLARS(millions)
2011,C,Manufacturing,d_10-19,Totalassets,2875,DOLLARS(millions)
2011,C,Manufacturing,d_10-19,Fixedtangibleassets,684,DOLLARS(millions)
2011,C,Manufacturing,e_20-49,Activityunit,1149,COUNT
2011,C,Manufacturing,e_20-49,Rollingmeanemployees,34092,COUNT
2011,C,Manufacturing,e_20-49,Salariesandwagespaid,1658,DOLLARS(millions)
2011,C,Manufacturing,e_20-49,Salessalesgovernmentfundingsalesgrantsandsubsidies,7997,DOLLARS(millions)
2011,C,Manufacturing,e_20-49,Totalincome,8050,DOLLARS(millions)
2011,C,Manufacturing,e_20-49,Totalexpenditure,7631,DOLLARS(millions)
2011,C,Manufacturing,e_20-49,Operatingprofitbeforetax,508,DOLLARS(millions)
2011,C,Manufacturing,e_20-49,Totalassets,5947,DOLLARS(millions)
2011,C,Manufacturing,e_20-49,Fixedtangibleassets,1922,DOLLARS(millions)
2011,C,Manufacturing,f_50-99,Activityunit,372,COUNT
2011,C,Manufacturing,f_50-99,Rollingmeanemployees,25515,COUNT
2011,C,Manufacturing,f_50-99,Salariesandwagespaid,1335,DOLLARS(millions)
2011,C,Manufacturing,f_50-99,Salessalesgovernmentfundingsalesgrantsandsubsidies,10615,DOLLARS(millions)
2011,C,Manufacturing,f_50-99,Totalincome,10746,DOLLARS(millions)
2011,C,Manufacturing,f_50-99,Totalexpenditure,10291,DOLLARS(millions)
2011,C,Manufacturing,f_50-99,Operatingprofitbeforetax,510,DOLLARS(millions)
2011,C,Manufacturing,f_50-99,Totalassets,6520,DOLLARS(millions)
2011,C,Manufacturing,f_50-99,Fixedtangibleassets,2190,DOLLARS(millions)
2011,C,Manufacturing,g_100-199,Activityunit,171,COUNT
2011,C,Manufacturing,g_100-199,Rollingmeanemployees,24069,COUNT
2011,C,Manufacturing,g_100-199,Salariesandwagespaid,1459,DOLLARS(millions)
2011,C,Manufacturing,g_100-199,Salessalesgovernmentfundingsalesgrantsandsubsidies,10969,DOLLARS(millions)
2011,C,Manufacturing,g_100-199,Totalincome,11192,DOLLARS(millions)
2011,C,Manufacturing,g_100-199,Totalexpenditure,10660,DOLLARS(millions)
2011,C,Manufacturing,g_100-199,Operatingprofitbeforetax,679,DOLLARS(millions)
2011,C,Manufacturing,g_100-199,Totalassets,9202,DOLLARS(millions)
2011,C,Manufacturing,g_100-199,Fixedtangibleassets,2312,DOLLARS(millions)
2011,C,Manufacturing,h_200+,Activityunit,141,COUNT
2011,C,Manufacturing,h_200+,Rollingmeanemployees,83955,COUNT
2011,C,Manufacturing,h_200+,Salariesandwagespaid,5284,DOLLARS(millions)
2011,C,Manufacturing,h_200+,Salessalesgovernmentfundingsalesgrantsandsubsidies,53126,DOLLARS(millions)
2011,C,Manufacturing,h_200+,Totalincome,53879,DOLLARS(millions)
2011,C,Manufacturing,h_200+,Totalexpenditure,53118,DOLLARS(millions)
2011,C,Manufacturing,h_200+,Operatingprofitbeforetax,1508,DOLLARS(millions)
2011,C,Manufacturing,h_200+,Totalassets,40714,DOLLARS(millions)
2011,C,Manufacturing,h_200+,Fixedtangibleassets,13877,DOLLARS(millions)
2011,C,Manufacturing,i_Industry_Total,Activityunit,20916,COUNT
2011,C,Manufacturing,i_Industry_Total,Rollingmeanemployees,221694,COUNT
2011,C,Manufacturing,i_Industry_Total,Salariesandwagespaid,12196,DOLLARS(millions)
2011,C,Manufacturing,i_Industry_Total,Salessalesgovernmentfundingsalesgrantsandsubsidies,94944,DOLLARS(millions)
2011,C,Manufacturing,i_Industry_Total,Totalincome,96174,DOLLARS(millions)
2011,C,Manufacturing,i_Industry_Total,Totalexpenditure,93383,DOLLARS(millions)
2011,C,Manufacturing,i_Industry_Total,Operatingprofitbeforetax,3875,DOLLARS(millions)
2011,C,Manufacturing,i_Industry_Total,Totalassets,71498,DOLLARS(millions)
2011,C,Manufacturing,i_Industry_Total,Fixedtangibleassets,22617,DOLLARS(millions)
2011,D,Electricity,a_0,Activityunit,540,COUNT
2011,D,Electricity,a_0,Rollingmeanemployees,0,COUNT
2011,D,Electricity,a_0,Salariesandwagespaid,23,DOLLARS(millions)
2011,D,Electricity,a_0,Salessalesgovernmentfundingsalesgrantsandsubsidies,2377,DOLLARS(millions)
2011,D,Electricity,a_0,Totalincome,2447,DOLLARS(millions)
2011,D,Electricity,a_0,Totalexpenditure,2133,DOLLARS(millions)
2011,D,Electricity,a_0,Operatingprofitbeforetax,361,DOLLARS(millions)
2011,D,Electricity,a_0,Totalassets,8615,DOLLARS(millions)
2011,D,Electricity,a_0,Fixedtangibleassets,6118,DOLLARS(millions)
2011,D,Electricity,b_1-5,Activityunit,306,COUNT
2011,D,Electricity,b_1-5,Rollingmeanemployees,636,COUNT
2011,D,Electricity,b_1-5,Salariesandwagespaid,28,DOLLARS(millions)
2011,D,Electricity,b_1-5,Salessalesgovernmentfundingsalesgrantsandsubsidies,156,DOLLARS(millions)
2011,D,Electricity,b_1-5,Totalincome,159,DOLLARS(millions)
2011,D,Electricity,b_1-5,Totalexpenditure,142,DOLLARS(millions)
2011,D,Electricity,b_1-5,Operatingprofitbeforetax,19,DOLLARS(millions)
2011,D,Electricity,b_1-5,Totalassets,435,DOLLARS(millions)
2011,D,Electricity,b_1-5,Fixedtangibleassets,177,DOLLARS(millions)
2011,D,Electricity,c_6-9,Activityunit,66,COUNT
2011,D,Electricity,c_6-9,Rollingmeanemployees,492,COUNT
2011,D,Electricity,c_6-9,Salariesandwagespaid,24,DOLLARS(millions)
2011,D,Electricity,c_6-9,Salessalesgovernmentfundingsalesgrantsandsubsidies,126,DOLLARS(millions)
2011,D,Electricity,c_6-9,Totalincome,126,DOLLARS(millions)
2011,D,Electricity,c_6-9,Totalexpenditure,117,DOLLARS(millions)
2011,D,Electricity,c_6-9,Operatingprofitbeforetax,20,DOLLARS(millions)
2011,D,Electricity,c_6-9,Totalassets,111,DOLLARS(millions)
2011,D,Electricity,c_6-9,Fixedtangibleassets,69,DOLLARS(millions)
2011,D,Electricity,d_10-19,Activityunit,42,COUNT
2011,D,Electricity,d_10-19,Rollingmeanemployees,549,COUNT
2011,D,Electricity,d_10-19,Salariesandwagespaid,21,DOLLARS(millions)
2011,D,Electricity,d_10-19,Salessalesgovernmentfundingsalesgrantsandsubsidies,138,DOLLARS(millions)
2011,D,Electricity,d_10-19,Totalincome,142,DOLLARS(millions)
2011,D,Electricity,d_10-19,Totalexpenditure,129,DOLLARS(millions)
2011,D,Electricity,d_10-19,Operatingprofitbeforetax,18,DOLLARS(millions)
2011,D,Electricity,d_10-19,Totalassets,389,DOLLARS(millions)
2011,D,Electricity,d_10-19,Fixedtangibleassets,304,DOLLARS(millions)
2011,D,Electricity,e_20-49,Activityunit,33,COUNT
2011,D,Electricity,e_20-49,Rollingmeanemployees,1029,COUNT
2011,D,Electricity,e_20-49,Salariesandwagespaid,54,DOLLARS(millions)
2011,D,Electricity,e_20-49,Salessalesgovernmentfundingsalesgrantsandsubsidies,443,DOLLARS(millions)
2011,D,Electricity,e_20-49,Totalincome,453,DOLLARS(millions)
2011,D,Electricity,e_20-49,Totalexpenditure,389,DOLLARS(millions)
2011,D,Electricity,e_20-49,Operatingprofitbeforetax,64,DOLLARS(millions)
2011,D,Electricity,e_20-49,Totalassets,764,DOLLARS(millions)
2011,D,Electricity,e_20-49,Fixedtangibleassets,594,DOLLARS(millions)
2011,D,Electricity,f_50-99,Activityunit,15,COUNT
2011,D,Electricity,f_50-99,Rollingmeanemployees,1185,COUNT
2011,D,Electricity,f_50-99,Salariesandwagespaid,53,DOLLARS(millions)
2011,D,Electricity,f_50-99,Salessalesgovernmentfundingsalesgrantsandsubsidies,864,DOLLARS(millions)
2011,D,Electricity,f_50-99,Totalincome,869,DOLLARS(millions)
2011,D,Electricity,f_50-99,Totalexpenditure,789,DOLLARS(millions)
2011,D,Electricity,f_50-99,Operatingprofitbeforetax,83,DOLLARS(millions)
2011,D,Electricity,f_50-99,Totalassets,1331,DOLLARS(millions)
2011,D,Electricity,f_50-99,Fixedtangibleassets,989,DOLLARS(millions)
2011,D,Electricity,g_100-199,Activityunit,9,COUNT
2011,D,Electricity,g_100-199,Rollingmeanemployees,1587,COUNT
2011,D,Electricity,g_100-199,Salariesandwagespaid,83,DOLLARS(millions)
2011,D,Electricity,g_100-199,Salessalesgovernmentfundingsalesgrantsandsubsidies,714,DOLLARS(millions)
2011,D,Electricity,g_100-199,Totalincome,729,DOLLARS(millions)
2011,D,Electricity,g_100-199,Totalexpenditure,594,DOLLARS(millions)
2011,D,Electricity,g_100-199,Operatingprofitbeforetax,156,DOLLARS(millions)
2011,D,Electricity,g_100-199,Totalassets,3112,DOLLARS(millions)
2011,D,Electricity,g_100-199,Fixedtangibleassets,2736,DOLLARS(millions)
2011,D,Electricity,h_200+,Activityunit,15,COUNT
2011,D,Electricity,h_200+,Rollingmeanemployees,8898,COUNT
2011,D,Electricity,h_200+,Salariesandwagespaid,648,DOLLARS(millions)
2011,D,Electricity,h_200+,Salessalesgovernmentfundingsalesgrantsandsubsidies,10500,DOLLARS(millions)
2011,D,Electricity,h_200+,Totalincome,11393,DOLLARS(millions)
2011,D,Electricity,h_200+,Totalexpenditure,9926,DOLLARS(millions)
2011,D,Electricity,h_200+,Operatingprofitbeforetax,1417,DOLLARS(millions)
2011,D,Electricity,h_200+,Totalassets,45146,DOLLARS(millions)
2011,D,Electricity,h_200+,Fixedtangibleassets,35855,DOLLARS(millions)
2011,D,Electricity,i_Industry_Total,Activityunit,1026,COUNT
2011,D,Electricity,i_Industry_Total,Rollingmeanemployees,14379,COUNT
2011,D,Electricity,i_Industry_Total,Salariesandwagespaid,934,DOLLARS(millions)
2011,D,Electricity,i_Industry_Total,Salessalesgovernmentfundingsalesgrantsandsubsidies,15318,DOLLARS(millions)
2011,D,Electricity,i_Industry_Total,Totalincome,16319,DOLLARS(millions)
2011,D,Electricity,i_Industry_Total,Totalexpenditure,14219,DOLLARS(millions)
2011,D,Electricity,i_Industry_Total,Operatingprofitbeforetax,2137,DOLLARS(millions)
2011,D,Electricity,i_Industry_Total,Totalassets,59902,DOLLARS(millions)
2011,D,Electricity,i_Industry_Total,Fixedtangibleassets,46841,DOLLARS(millions)
2011,E,Construction,a_0,Activityunit,29274,COUNT
2011,E,Construction,a_0,Rollingmeanemployees,0,COUNT
2011,E,Construction,a_0,Salariesandwagespaid,679,DOLLARS(millions)
2011,E,Construction,a_0,Salessalesgovernmentfundingsalesgrantsandsubsidies,5237,DOLLARS(millions)
2011,E,Construction,a_0,Totalincome,5281,DOLLARS(millions)
2011,E,Construction,a_0,Totalexpenditure,4760,DOLLARS(millions)
2011,E,Construction,a_0,Operatingprofitbeforetax,425,DOLLARS(millions)
2011,E,Construction,a_0,Totalassets,6117,DOLLARS(millions)
2011,E,Construction,a_0,Fixedtangibleassets,1787,DOLLARS(millions)
2011,E,Construction,b_1-5,Activityunit,16485,COUNT
2011,E,Construction,b_1-5,Rollingmeanemployees,29550,COUNT
2011,E,Construction,b_1-5,Salariesandwagespaid,1430,DOLLARS(millions)
2011,E,Construction,b_1-5,Salessalesgovernmentfundingsalesgrantsandsubsidies,6411,DOLLARS(millions)
2011,E,Construction,b_1-5,Totalincome,6442,DOLLARS(millions)
2011,E,Construction,b_1-5,Totalexpenditure,5957,DOLLARS(millions)
2011,E,Construction,b_1-5,Operatingprofitbeforetax,459,DOLLARS(millions)
2011,E,Construction,b_1-5,Totalassets,3426,DOLLARS(millions)
2011,E,Construction,b_1-5,Fixedtangibleassets,1015,DOLLARS(millions)
2011,E,Construction,c_6-9,Activityunit,2196,COUNT
2011,E,Construction,c_6-9,Rollingmeanemployees,15774,COUNT
2011,E,Construction,c_6-9,Salariesandwagespaid,801,DOLLARS(millions)
2011,E,Construction,c_6-9,Salessalesgovernmentfundingsalesgrantsandsubsidies,2934,DOLLARS(millions)
2011,E,Construction,c_6-9,Totalincome,2948,DOLLARS(millions)
2011,E,Construction,c_6-9,Totalexpenditure,2855,DOLLARS(millions)
2011,E,Construction,c_6-9,Operatingprofitbeforetax,119,DOLLARS(millions)
2011,E,Construction,c_6-9,Totalassets,1395,DOLLARS(millions)
2011,E,Construction,c_6-9,Fixedtangibleassets,360,DOLLARS(millions)
